oa11cd,all,w,p_w,w_b,p_w_b,w_i,p_w_i,w_g,p_w_g,w_o,p_w_o,m,p_m,m_wbc,p_m_wbc,m_wba,p_m_wba,m_w_a,p_m_w_a,m_o,p_m_o,a,p_a,a_i,p_a_i,a_p,p_a_p,a_b,p_a_b,a_c,p_a_c,a_o,p_a_o,b,p_b,b_a,p_b_a,b_c,p_b_c,b_o,p_b_o,o,p_o,o_a,p_o_a,o_o,p_o_o
E00069509,257,199,77.4,157,61.1,4,1.6,0,0,38,14.8,4,1.6,1,0.4,2,0.8,1,0.4,0,0,38,14.8,13,5.1,0,0,0,0,7,2.7,18,7,14,5.4,10,3.9,1,0.4,3,1.2,2,0.8,2,0.8,0,0
E00069510,357,250,70,188,52.7,2,0.6,1,0.3,59,16.5,15,4.2,4,1.1,9,2.5,1,0.3,1,0.3,72,20.2,47,13.2,4,1.1,1,0.3,13,3.6,7,2,13,3.6,12,3.4,0,0,1,0.3,7,2,0,0,7,2
E00069511,342,249,72.8,208,60.8,6,1.8,0,0,35,10.2,16,4.7,4,1.2,2,0.6,6,1.8,4,1.2,60,17.5,35,10.2,8,2.3,0,0,8,2.3,9,2.6,15,4.4,14,4.1,1,0.3,0,0,2,0.6,1,0.3,1,0.3
E00069512,421,276,65.6,218,51.8,0,0,0,0,58,13.8,17,4,9,2.1,3,0.7,3,0.7,2,0.5,91,21.6,78,18.5,1,0.2,0,0,7,1.7,5,1.2,22,5.2,20,4.8,0,0,2,0.5,15,3.6,0,0,15,3.6
E00069513,280,229,81.8,180,64.3,2,0.7,0,0,47,16.8,12,4.3,4,1.4,1,0.4,6,2.1,1,0.4,26,9.3,14,5,0,0,2,0.7,6,2.1,4,1.4,1,0.4,0,0,0,0,1,0.4,12,4.3,10,3.6,2,0.7
E00069514,323,280,86.7,257,79.6,3,0.9,1,0.3,19,5.9,12,3.7,5,1.5,0,0,4,1.2,3,0.9,16,5,11,3.4,2,0.6,0,0,3,0.9,0,0,13,4,8,2.5,3,0.9,2,0.6,2,0.6,1,0.3,1,0.3
E00069515,270,176,65.2,161,59.6,6,2.2,0,0,9,3.3,5,1.9,2,0.7,1,0.4,1,0.4,1,0.4,76,28.1,66,24.4,3,1.1,0,0,0,0,7,2.6,12,4.4,11,4.1,0,0,1,0.4,1,0.4,0,0,1,0.4
E00069516,377,303,80.4,263,69.8,7,1.9,0,0,33,8.8,3,0.8,0,0,3,0.8,0,0,0,0,63,16.7,56,14.9,1,0.3,0,0,2,0.5,4,1.1,5,1.3,1,0.3,1,0.3,3,0.8,3,0.8,0,0,3,0.8
E00069517,313,275,87.9,259,82.7,10,3.2,0,0,6,1.9,13,4.2,5,1.6,4,1.3,0,0,4,1.3,16,5.1,12,3.8,0,0,0,0,0,0,4,1.3,3,1,1,0.3,2,0.6,0,0,6,1.9,0,0,6,1.9
E00069518,263,177,67.3,142,54,5,1.9,0,0,30,11.4,24,9.1,9,3.4,1,0.4,7,2.7,7,2.7,29,11,16,6.1,0,0,0,0,3,1.1,10,3.8,31,11.8,15,5.7,12,4.6,4,1.5,2,0.8,0,0,2,0.8
