oa11cd,all,w,p_w,w_b,p_w_b,w_i,p_w_i,w_g,p_w_g,w_o,p_w_o,m,p_m,m_wbc,p_m_wbc,m_wba,p_m_wba,m_w_a,p_m_w_a,m_o,p_m_o,a,p_a,a_i,p_a_i,a_p,p_a_p,a_b,p_a_b,a_c,p_a_c,a_o,p_a_o,b,p_b,b_a,p_b_a,b_c,p_b_c,b_o,p_b_o,o,p_o,o_a,p_o_a,o_o,p_o_o
E00168110,343,21,6.1,17,5,1,0.3,0,0,3,0.9,12,3.5,2,0.6,3,0.9,5,1.5,2,0.6,301,87.8,275,80.2,12,3.5,6,1.7,0,0,8,2.3,8,2.3,6,1.7,2,0.6,0,0,1,0.3,0,0,1,0.3
E00169037,380,5,1.3,4,1.1,0,0,0,0,1,0.3,1,0.3,0,0,0,0,0,0,1,0.3,348,91.6,295,77.6,26,6.8,8,2.1,0,0,19,5,11,2.9,11,2.9,0,0,0,0,15,3.9,15,3.9,0,0
E00169038,337,23,6.8,18,5.3,1,0.3,0,0,4,1.2,7,2.1,0,0,0,0,6,1.8,1,0.3,278,82.5,213,63.2,43,12.8,8,2.4,1,0.3,13,3.9,15,4.5,9,2.7,0,0,6,1.8,14,4.2,6,1.8,8,2.4
E00169040,443,15,3.4,3,0.7,0,0,0,0,12,2.7,8,1.8,1,0.2,0,0,7,1.6,0,0,408,92.1,321,72.5,35,7.9,15,3.4,1,0.2,36,8.1,9,2,6,1.4,3,0.7,0,0,3,0.7,0,0,3,0.7
E00169041,177,71,40.1,69,39,1,0.6,0,0,1,0.6,21,11.9,5,2.8,1,0.6,12,6.8,3,1.7,61,34.5,42,23.7,3,1.7,0,0,2,1.1,14,7.9,16,9,11,6.2,3,1.7,2,1.1,8,4.5,2,1.1,6,3.4
E00169043,234,154,65.8,137,58.5,2,0.9,0,0,15,6.4,3,1.3,1,0.4,0,0,1,0.4,1,0.4,57,24.4,19,8.1,1,0.4,1,0.4,31,13.2,5,2.1,12,5.1,7,3,5,2.1,0,0,8,3.4,4,1.7,4,1.7
E00169044,322,105,32.6,90,28,2,0.6,2,0.6,11,3.4,17,5.3,1,0.3,0,0,8,2.5,8,2.5,157,48.8,127,39.4,6,1.9,3,0.9,3,0.9,18,5.6,34,10.6,28,8.7,6,1.9,0,0,9,2.8,5,1.6,4,1.2
E00169046,310,93,30,74,23.9,0,0,0,0,19,6.1,6,1.9,4,1.3,0,0,1,0.3,1,0.3,151,48.7,131,42.3,4,1.3,0,0,1,0.3,15,4.8,16,5.2,12,3.9,2,0.6,2,0.6,44,14.2,25,8.1,19,6.1
E00169048,345,138,40,113,32.8,3,0.9,0,0,22,6.4,7,2,6,1.7,0,0,1,0.3,0,0,135,39.1,102,29.6,13,3.8,3,0.9,3,0.9,14,4.1,28,8.1,25,7.2,2,0.6,1,0.3,37,10.7,30,8.7,7,2
E00169049,336,138,41.1,113,33.6,0,0,0,0,25,7.4,17,5.1,8,2.4,3,0.9,5,1.5,1,0.3,157,46.7,136,40.5,8,2.4,0,0,5,1.5,8,2.4,9,2.7,6,1.8,0,0,3,0.9,15,4.5,15,4.5,0,0
E00169051,272,93,34.2,80,29.4,0,0,0,0,13,4.8,16,5.9,10,3.7,0,0,5,1.8,1,0.4,123,45.2,114,41.9,2,0.7,2,0.7,1,0.4,4,1.5,14,5.1,5,1.8,9,3.3,0,0,26,9.6,26,9.6,0,0
E00169052,256,99,38.7,78,30.5,0,0,0,0,21,8.2,6,2.3,1,0.4,1,0.4,2,0.8,2,0.8,128,50,118,46.1,2,0.8,0,0,4,1.6,4,1.6,15,5.9,11,4.3,4,1.6,0,0,8,3.1,5,2,3,1.2
E00169054,349,40,11.5,36,10.3,0,0,0,0,4,1.1,7,2,3,0.9,1,0.3,3,0.9,0,0,263,75.4,223,63.9,4,1.1,4,1.1,0,0,32,9.2,6,1.7,6,1.7,0,0,0,0,33,9.5,15,4.3,18,5.2
E00169055,341,83,24.3,71,20.8,3,0.9,0,0,9,2.6,16,4.7,2,0.6,1,0.3,13,3.8,0,0,176,51.6,155,45.5,5,1.5,1,0.3,0,0,15,4.4,42,12.3,38,11.1,0,0,4,1.2,24,7,15,4.4,9,2.6
E00169057,404,59,14.6,55,13.6,0,0,0,0,4,1,12,3,1,0.2,0,0,8,2,3,0.7,253,62.6,217,53.7,9,2.2,9,2.2,1,0.2,17,4.2,57,14.1,25,6.2,10,2.5,22,5.4,23,5.7,23,5.7,0,0
E00169058,315,170,54,153,48.6,3,1,6,1.9,8,2.5,12,3.8,9,2.9,2,0.6,0,0,1,0.3,62,19.7,52,16.5,4,1.3,3,1,0,0,3,1,52,16.5,23,7.3,6,1.9,23,7.3,19,6,11,3.5,8,2.5
E00169060,266,173,65,167,62.8,5,1.9,0,0,1,0.4,7,2.6,0,0,1,0.4,6,2.3,0,0,67,25.2,65,24.4,0,0,0,0,1,0.4,1,0.4,1,0.4,0,0,1,0.4,0,0,18,6.8,9,3.4,9,3.4
E00169062,317,96,30.3,88,27.8,0,0,0,0,8,2.5,14,4.4,7,2.2,3,0.9,4,1.3,0,0,165,52.1,132,41.6,8,2.5,0,0,0,0,25,7.9,26,8.2,5,1.6,10,3.2,11,3.5,16,5,9,2.8,7,2.2
E00169063,387,117,30.2,86,22.2,5,1.3,0,0,26,6.7,17,4.4,2,0.5,0,0,8,2.1,7,1.8,216,55.8,179,46.3,12,3.1,3,0.8,6,1.6,16,4.1,6,1.6,5,1.3,1,0.3,0,0,31,8,28,7.2,3,0.8
E00169065,327,130,39.8,107,32.7,0,0,0,0,23,7,5,1.5,0,0,0,0,4,1.2,1,0.3,176,53.8,143,43.7,4,1.2,0,0,6,1.8,23,7,0,0,0,0,0,0,0,0,16,4.9,13,4,3,0.9
E00169444,390,266,68.2,157,40.3,4,1,0,0,105,26.9,21,5.4,3,0.8,1,0.3,9,2.3,8,2.1,74,19,41,10.5,7,1.8,4,1,14,3.6,8,2.1,20,5.1,10,2.6,6,1.5,4,1,9,2.3,1,0.3,8,2.1
E00169446,586,195,33.3,125,21.3,3,0.5,0,0,67,11.4,11,1.9,3,0.5,3,0.5,3,0.5,2,0.3,329,56.1,75,12.8,20,3.4,2,0.3,189,32.3,43,7.3,36,6.1,31,5.3,4,0.7,1,0.2,15,2.6,7,1.2,8,1.4
E00169447,235,149,63.4,125,53.2,2,0.9,0,0,22,9.4,2,0.9,1,0.4,0,0,1,0.4,0,0,44,18.7,17,7.2,2,0.9,8,3.4,8,3.4,9,3.8,14,6,14,6,0,0,0,0,26,11.1,15,6.4,11,4.7
E00169449,440,42,9.5,21,4.8,0,0,0,0,21,4.8,12,2.7,6,1.4,0,0,5,1.1,1,0.2,355,80.7,226,51.4,48,10.9,37,8.4,0,0,44,10,17,3.9,1,0.2,6,1.4,10,2.3,14,3.2,3,0.7,11,2.5
E00169450,321,105,32.7,93,29,6,1.9,0,0,6,1.9,14,4.4,0,0,0,0,14,4.4,0,0,158,49.2,131,40.8,9,2.8,5,1.6,3,0.9,10,3.1,33,10.3,23,7.2,4,1.2,6,1.9,11,3.4,9,2.8,2,0.6
E00169452,246,181,73.6,146,59.3,3,1.2,0,0,32,13,12,4.9,9,3.7,0,0,2,0.8,1,0.4,30,12.2,24,9.8,0,0,2,0.8,0,0,4,1.6,12,4.9,8,3.3,4,1.6,0,0,11,4.5,5,2,6,2.4
E00169453,223,119,53.4,63,28.3,0,0,0,0,56,25.1,14,6.3,3,1.3,1,0.4,7,3.1,3,1.3,22,9.9,8,3.6,2,0.9,0,0,11,4.9,1,0.4,15,6.7,9,4,5,2.2,1,0.4,53,23.8,39,17.5,14,6.3
E00169455,281,120,42.7,98,34.9,0,0,0,0,22,7.8,8,2.8,0,0,1,0.4,6,2.1,1,0.4,110,39.1,28,10,11,3.9,5,1.8,57,20.3,9,3.2,39,13.9,26,9.3,10,3.6,3,1.1,4,1.4,2,0.7,2,0.7
E00169457,202,118,58.4,87,43.1,3,1.5,1,0.5,27,13.4,9,4.5,3,1.5,0,0,6,3,0,0,23,11.4,2,1,2,1,0,0,15,7.4,4,2,31,15.3,26,12.9,5,2.5,0,0,21,10.4,16,7.9,5,2.5
E00169458,622,267,42.9,224,36,2,0.3,0,0,41,6.6,17,2.7,9,1.4,1,0.2,4,0.6,3,0.5,259,41.6,99,15.9,41,6.6,5,0.8,92,14.8,22,3.5,54,8.7,46,7.4,7,1.1,1,0.2,25,4,14,2.3,11,1.8
E00169460,252,146,57.9,109,43.3,1,0.4,0,0,36,14.3,10,4,3,1.2,2,0.8,5,2,0,0,53,21,19,7.5,4,1.6,0,0,19,7.5,11,4.4,11,4.4,3,1.2,7,2.8,1,0.4,32,12.7,29,11.5,3,1.2
E00169461,229,99,43.2,77,33.6,2,0.9,0,0,20,8.7,7,3.1,2,0.9,3,1.3,2,0.9,0,0,54,23.6,10,4.4,6,2.6,0,0,30,13.1,8,3.5,14,6.1,7,3.1,4,1.7,3,1.3,55,24,50,21.8,5,2.2
E00169463,408,88,21.6,82,20.1,0,0,0,0,6,1.5,11,2.7,1,0.2,0,0,2,0.5,8,2,240,58.8,197,48.3,14,3.4,0,0,0,0,29,7.1,32,7.8,8,2,11,2.7,13,3.2,37,9.1,26,6.4,11,2.7
E00169464,393,8,2,7,1.8,0,0,0,0,1,0.3,8,2,0,0,0,0,5,1.3,3,0.8,346,88,273,69.5,40,10.2,16,4.1,0,0,17,4.3,23,5.9,13,3.3,6,1.5,4,1,8,2,7,1.8,1,0.3
E00169466,500,343,68.6,310,62,0,0,0,0,33,6.6,13,2.6,6,1.2,0,0,6,1.2,1,0.2,83,16.6,31,6.2,9,1.8,0,0,22,4.4,21,4.2,26,5.2,17,3.4,8,1.6,1,0.2,35,7,26,5.2,9,1.8
E00169467,415,345,83.1,309,74.5,8,1.9,0,0,28,6.7,11,2.7,6,1.4,0,0,5,1.2,0,0,41,9.9,19,4.6,9,2.2,5,1.2,3,0.7,5,1.2,15,3.6,12,2.9,0,0,3,0.7,3,0.7,0,0,3,0.7
E00169469,302,192,63.6,172,57,2,0.7,0,0,18,6,18,6,4,1.3,0,0,6,2,8,2.6,79,26.2,73,24.2,0,0,0,0,0,0,6,2,5,1.7,1,0.3,4,1.3,0,0,8,2.6,1,0.3,7,2.3
E00169471,327,285,87.2,273,83.5,3,0.9,0,0,9,2.8,15,4.6,12,3.7,0,0,1,0.3,2,0.6,8,2.4,5,1.5,0,0,0,0,0,0,3,0.9,15,4.6,10,3.1,5,1.5,0,0,4,1.2,0,0,4,1.2
E00169472,160,129,80.6,123,76.9,2,1.2,0,0,4,2.5,5,3.1,2,1.2,1,0.6,0,0,2,1.2,7,4.4,0,0,0,0,0,0,1,0.6,6,3.8,13,8.1,9,5.6,2,1.2,2,1.2,6,3.8,0,0,6,3.8
E00169474,364,195,53.6,102,28,2,0.5,0,0,91,25,17,4.7,8,2.2,4,1.1,0,0,5,1.4,108,29.7,65,17.9,15,4.1,1,0.3,10,2.7,17,4.7,41,11.3,34,9.3,0,0,7,1.9,3,0.8,3,0.8,0,0
E00169475,365,22,6,17,4.7,0,0,0,0,5,1.4,0,0,0,0,0,0,0,0,0,0,332,91,310,84.9,0,0,4,1.1,0,0,18,4.9,8,2.2,4,1.1,3,0.8,1,0.3,3,0.8,0,0,3,0.8
E00169477,415,12,2.9,7,1.7,1,0.2,0,0,4,1,11,2.7,1,0.2,5,1.2,0,0,5,1.2,375,90.4,328,79,23,5.5,3,0.7,0,0,21,5.1,14,3.4,8,1.9,1,0.2,5,1.2,3,0.7,0,0,3,0.7
E00169478,395,1,0.3,0,0,0,0,0,0,1,0.3,5,1.3,0,0,5,1.3,0,0,0,0,356,90.1,311,78.7,26,6.6,0,0,0,0,19,4.8,26,6.6,19,4.8,7,1.8,0,0,7,1.8,6,1.5,1,0.3
E00169480,223,113,50.7,77,34.5,0,0,0,0,36,16.1,11,4.9,2,0.9,0,0,8,3.6,1,0.4,60,26.9,12,5.4,5,2.2,0,0,34,15.2,9,4,15,6.7,10,4.5,5,2.2,0,0,24,10.8,15,6.7,9,4
E00169481,542,336,62,316,58.3,4,0.7,4,0.7,12,2.2,17,3.1,5,0.9,2,0.4,5,0.9,5,0.9,135,24.9,66,12.2,18,3.3,5,0.9,27,5,19,3.5,48,8.9,30,5.5,16,3,2,0.4,6,1.1,1,0.2,5,0.9
E00169483,295,191,64.7,144,48.8,1,0.3,0,0,46,15.6,16,5.4,3,1,2,0.7,3,1,8,2.7,49,16.6,17,5.8,3,1,0,0,22,7.5,7,2.4,18,6.1,11,3.7,7,2.4,0,0,21,7.1,19,6.4,2,0.7
E00169485,226,28,12.4,17,7.5,1,0.4,0,0,10,4.4,9,4,0,0,0,0,4,1.8,5,2.2,70,31,51,22.6,7,3.1,6,2.7,0,0,6,2.7,113,50,59,26.1,3,1.3,51,22.6,6,2.7,0,0,6,2.7
E00169486,150,76,50.7,51,34,3,2,0,0,22,14.7,3,2,0,0,1,0.7,0,0,2,1.3,41,27.3,9,6,2,1.3,0,0,28,18.7,2,1.3,13,8.7,12,8,1,0.7,0,0,17,11.3,11,7.3,6,4
E00169488,413,224,54.2,187,45.3,5,1.2,1,0.2,31,7.5,11,2.7,2,0.5,2,0.5,6,1.5,1,0.2,126,30.5,36,8.7,7,1.7,4,1,64,15.5,15,3.6,33,8,26,6.3,6,1.5,1,0.2,19,4.6,11,2.7,8,1.9
E00169489,178,84,47.2,65,36.5,4,2.2,0,0,15,8.4,9,5.1,0,0,1,0.6,2,1.1,6,3.4,41,23,10,5.6,2,1.1,0,0,18,10.1,11,6.2,18,10.1,12,6.7,6,3.4,0,0,26,14.6,24,13.5,2,1.1
E00169491,189,99,52.4,77,40.7,1,0.5,0,0,21,11.1,10,5.3,2,1.1,3,1.6,2,1.1,3,1.6,45,23.8,9,4.8,2,1.1,0,0,29,15.3,5,2.6,14,7.4,10,5.3,4,2.1,0,0,21,11.1,18,9.5,3,1.6
E00169492,321,68,21.2,50,15.6,4,1.2,0,0,14,4.4,8,2.5,2,0.6,0,0,6,1.9,0,0,199,62,140,43.6,18,5.6,10,3.1,0,0,31,9.7,26,8.1,12,3.7,13,4,1,0.3,20,6.2,2,0.6,18,5.6
E00169494,509,115,22.6,104,20.4,0,0,0,0,11,2.2,21,4.1,5,1,1,0.2,14,2.8,1,0.2,324,63.7,255,50.1,17,3.3,1,0.2,0,0,51,10,27,5.3,7,1.4,12,2.4,8,1.6,22,4.3,1,0.2,21,4.1
E00169495,255,139,54.5,128,50.2,1,0.4,0,0,10,3.9,23,9,12,4.7,1,0.4,7,2.7,3,1.2,47,18.4,17,6.7,1,0.4,5,2,6,2.4,18,7.1,24,9.4,21,8.2,2,0.8,1,0.4,22,8.6,15,5.9,7,2.7
E00169497,203,102,50.2,88,43.3,2,1,0,0,12,5.9,9,4.4,4,2,1,0.5,3,1.5,1,0.5,59,29.1,34,16.7,7,3.4,0,0,10,4.9,8,3.9,6,3,1,0.5,4,2,1,0.5,27,13.3,24,11.8,3,1.5
E00169499,191,81,42.4,62,32.5,0,0,0,0,19,9.9,10,5.2,2,1,0,0,8,4.2,0,0,52,27.2,29,15.2,1,0.5,4,2.1,16,8.4,2,1,4,2.1,3,1.6,1,0.5,0,0,44,23,41,21.5,3,1.6
E00169500,198,71,35.9,50,25.3,1,0.5,0,0,20,10.1,8,4,4,2,1,0.5,1,0.5,2,1,75,37.9,11,5.6,0,0,0,0,56,28.3,8,4,12,6.1,8,4,2,1,2,1,32,16.2,31,15.7,1,0.5
E00169502,212,116,54.7,102,48.1,1,0.5,0,0,13,6.1,8,3.8,5,2.4,0,0,2,0.9,1,0.5,45,21.2,25,11.8,5,2.4,2,0.9,11,5.2,2,0.9,11,5.2,7,3.3,2,0.9,2,0.9,32,15.1,28,13.2,4,1.9
E00169503,365,149,40.8,129,35.3,2,0.5,3,0.8,15,4.1,2,0.5,0,0,2,0.5,0,0,0,0,197,54,175,47.9,9,2.5,0,0,0,0,13,3.6,15,4.1,6,1.6,6,1.6,3,0.8,2,0.5,2,0.5,0,0
E00169505,224,123,54.9,95,42.4,0,0,0,0,28,12.5,12,5.4,4,1.8,6,2.7,1,0.4,1,0.4,56,25,3,1.3,8,3.6,0,0,38,17,7,3.1,13,5.8,11,4.9,2,0.9,0,0,20,8.9,17,7.6,3,1.3
E00169506,521,64,12.3,57,10.9,2,0.4,0,0,5,1,22,4.2,8,1.5,2,0.4,5,1,7,1.3,216,41.5,156,29.9,15,2.9,11,2.1,0,0,34,6.5,199,38.2,126,24.2,8,1.5,65,12.5,20,3.8,14,2.7,6,1.2
E00169508,420,285,67.9,212,50.5,3,0.7,0,0,70,16.7,23,5.5,10,2.4,1,0.2,5,1.2,7,1.7,54,12.9,35,8.3,2,0.5,0,0,7,1.7,10,2.4,49,11.7,32,7.6,7,1.7,10,2.4,9,2.1,0,0,9,2.1
E00169509,273,190,69.6,150,54.9,1,0.4,5,1.8,34,12.5,15,5.5,7,2.6,1,0.4,3,1.1,4,1.5,36,13.2,17,6.2,6,2.2,0,0,8,2.9,5,1.8,32,11.7,16,5.9,11,4,5,1.8,0,0,0,0,0,0
E00169511,216,136,63,94,43.5,0,0,0,0,42,19.4,14,6.5,8,3.7,0,0,6,2.8,0,0,37,17.1,21,9.7,4,1.9,6,2.8,1,0.5,5,2.3,26,12,13,6,10,4.6,3,1.4,3,1.4,0,0,3,1.4
E00169513,245,195,79.6,155,63.3,0,0,0,0,40,16.3,6,2.4,4,1.6,0,0,2,0.8,0,0,22,9,14,5.7,3,1.2,0,0,0,0,5,2,19,7.8,9,3.7,5,2,5,2,3,1.2,0,0,3,1.2
E00169514,385,16,4.2,9,2.3,1,0.3,2,0.5,4,1,3,0.8,1,0.3,0,0,2,0.5,0,0,333,86.5,319,82.9,3,0.8,0,0,0,0,11,2.9,29,7.5,24,6.2,0,0,5,1.3,4,1,2,0.5,2,0.5
E00169516,341,20,5.9,12,3.5,1,0.3,0,0,7,2.1,2,0.6,2,0.6,0,0,0,0,0,0,316,92.7,300,88,4,1.2,0,0,0,0,12,3.5,3,0.9,2,0.6,1,0.3,0,0,0,0,0,0,0,0
E00169517,174,2,1.1,2,1.1,0,0,0,0,0,0,3,1.7,0,0,1,0.6,0,0,2,1.1,160,92,145,83.3,3,1.7,0,0,0,0,12,6.9,7,4,0,0,5,2.9,2,1.1,2,1.1,0,0,2,1.1
E00169519,212,163,76.9,119,56.1,0,0,0,0,44,20.8,6,2.8,6,2.8,0,0,0,0,0,0,32,15.1,24,11.3,7,3.3,0,0,0,0,1,0.5,9,4.2,5,2.4,3,1.4,1,0.5,2,0.9,0,0,2,0.9
E00169520,444,18,4.1,18,4.1,0,0,0,0,0,0,7,1.6,1,0.2,2,0.5,4,0.9,0,0,391,88.1,382,86,0,0,0,0,1,0.2,8,1.8,13,2.9,9,2,3,0.7,1,0.2,15,3.4,0,0,15,3.4
E00169522,369,13,3.5,9,2.4,0,0,0,0,4,1.1,6,1.6,1,0.3,1,0.3,4,1.1,0,0,346,93.8,298,80.8,7,1.9,0,0,1,0.3,40,10.8,3,0.8,1,0.3,2,0.5,0,0,1,0.3,0,0,1,0.3
E00169523,345,18,5.2,18,5.2,0,0,0,0,0,0,2,0.6,0,0,1,0.3,0,0,1,0.3,318,92.2,305,88.4,0,0,0,0,0,0,13,3.8,2,0.6,2,0.6,0,0,0,0,5,1.4,0,0,5,1.4
E00169525,181,12,6.6,11,6.1,1,0.6,0,0,0,0,3,1.7,0,0,0,0,2,1.1,1,0.6,164,90.6,141,77.9,8,4.4,0,0,0,0,15,8.3,2,1.1,2,1.1,0,0,0,0,0,0,0,0,0,0
E00169527,252,128,50.8,111,44,1,0.4,0,0,16,6.3,9,3.6,2,0.8,2,0.8,2,0.8,3,1.2,42,16.7,19,7.5,2,0.8,1,0.4,17,6.7,3,1.2,26,10.3,18,7.1,7,2.8,1,0.4,47,18.7,33,13.1,14,5.6
E00169528,119,57,47.9,49,41.2,3,2.5,0,0,5,4.2,5,4.2,0,0,2,1.7,3,2.5,0,0,25,21,7,5.9,1,0.8,2,1.7,8,6.7,7,5.9,26,21.8,19,16,2,1.7,5,4.2,6,5,3,2.5,3,2.5
E00169530,103,64,62.1,51,49.5,0,0,0,0,13,12.6,6,5.8,3,2.9,1,1,1,1,1,1,18,17.5,5,4.9,3,2.9,0,0,6,5.8,4,3.9,6,5.8,2,1.9,4,3.9,0,0,9,8.7,7,6.8,2,1.9
E00169531,303,11,3.6,11,3.6,0,0,0,0,0,0,2,0.7,0,0,0,0,1,0.3,1,0.3,284,93.7,278,91.7,0,0,1,0.3,0,0,5,1.7,0,0,0,0,0,0,0,0,6,2,0,0,6,2
E00169533,201,127,63.2,78,38.8,2,1,0,0,47,23.4,14,7,2,1,2,1,5,2.5,5,2.5,31,15.4,8,4,4,2,3,1.5,10,5,6,3,7,3.5,5,2.5,1,0.5,1,0.5,22,10.9,18,9,4,2
E00169534,184,107,58.2,97,52.7,0,0,0,0,10,5.4,7,3.8,2,1.1,1,0.5,0,0,4,2.2,30,16.3,7,3.8,2,1.1,0,0,15,8.2,6,3.3,26,14.1,18,9.8,4,2.2,4,2.2,14,7.6,7,3.8,7,3.8
E00169536,237,103,43.5,67,28.3,0,0,0,0,36,15.2,7,3,1,0.4,0,0,3,1.3,3,1.3,63,26.6,10,4.2,0,0,0,0,48,20.3,5,2.1,15,6.3,13,5.5,1,0.4,1,0.4,49,20.7,35,14.8,14,5.9
E00169537,325,157,48.3,146,44.9,0,0,0,0,11,3.4,6,1.8,5,1.5,0,0,0,0,1,0.3,141,43.4,108,33.2,0,0,0,0,11,3.4,22,6.8,21,6.5,11,3.4,7,2.2,3,0.9,0,0,0,0,0,0
E00169539,375,175,46.7,151,40.3,7,1.9,0,0,17,4.5,24,6.4,7,1.9,6,1.6,11,2.9,0,0,152,40.5,118,31.5,15,4,0,0,5,1.3,14,3.7,23,6.1,17,4.5,1,0.3,5,1.3,1,0.3,0,0,1,0.3
E00169541,407,107,26.3,91,22.4,3,0.7,0,0,13,3.2,11,2.7,5,1.2,1,0.2,3,0.7,2,0.5,263,64.6,211,51.8,10,2.5,2,0.5,11,2.7,29,7.1,22,5.4,21,5.2,0,0,1,0.2,4,1,0,0,4,1
E00169542,265,156,58.9,122,46,0,0,0,0,34,12.8,8,3,6,2.3,0,0,2,0.8,0,0,69,26,57,21.5,1,0.4,0,0,1,0.4,10,3.8,25,9.4,19,7.2,5,1.9,1,0.4,7,2.6,0,0,7,2.6
E00169544,407,92,22.6,74,18.2,0,0,0,0,18,4.4,7,1.7,0,0,0,0,6,1.5,1,0.2,272,66.8,240,59,10,2.5,0,0,16,3.9,6,1.5,19,4.7,18,4.4,0,0,1,0.2,17,4.2,5,1.2,12,2.9
E00169545,232,129,55.6,103,44.4,5,2.2,0,0,21,9.1,12,5.2,6,2.6,2,0.9,1,0.4,3,1.3,82,35.3,37,15.9,3,1.3,3,1.3,7,3,32,13.8,6,2.6,4,1.7,2,0.9,0,0,3,1.3,1,0.4,2,0.9
E00169547,516,281,54.5,247,47.9,0,0,1,0.2,33,6.4,37,7.2,13,2.5,7,1.4,11,2.1,6,1.2,115,22.3,38,7.4,12,2.3,4,0.8,16,3.1,45,8.7,78,15.1,60,11.6,13,2.5,5,1,5,1,2,0.4,3,0.6
E00169548,168,87,51.8,87,51.8,0,0,0,0,0,0,11,6.5,6,3.6,4,2.4,1,0.6,0,0,50,29.8,35,20.8,11,6.5,0,0,1,0.6,3,1.8,19,11.3,3,1.8,15,8.9,1,0.6,1,0.6,0,0,1,0.6
E00169550,221,71,32.1,60,27.1,1,0.5,0,0,10,4.5,13,5.9,8,3.6,0,0,4,1.8,1,0.5,95,43,20,9,3,1.4,1,0.5,15,6.8,56,25.3,20,9,14,6.3,6,2.7,0,0,22,10,9,4.1,13,5.9
E00169551,236,153,64.8,135,57.2,3,1.3,0,0,15,6.4,15,6.4,2,0.8,2,0.8,8,3.4,3,1.3,39,16.5,12,5.1,6,2.5,1,0.4,12,5.1,8,3.4,14,5.9,8,3.4,6,2.5,0,0,15,6.4,13,5.5,2,0.8
E00169553,714,343,48,321,45,3,0.4,0,0,19,2.7,40,5.6,15,2.1,13,1.8,10,1.4,2,0.3,237,33.2,122,17.1,32,4.5,7,1,51,7.1,25,3.5,76,10.6,61,8.5,12,1.7,3,0.4,18,2.5,9,1.3,9,1.3
E00169555,376,107,28.5,96,25.5,0,0,0,0,11,2.9,11,2.9,3,0.8,0,0,6,1.6,2,0.5,237,63,211,56.1,10,2.7,0,0,2,0.5,14,3.7,7,1.9,6,1.6,0,0,1,0.3,14,3.7,10,2.7,4,1.1
E00169556,444,54,12.2,45,10.1,0,0,0,0,9,2,6,1.4,0,0,0,0,2,0.5,4,0.9,353,79.5,322,72.5,8,1.8,0,0,1,0.2,22,5,5,1.1,0,0,5,1.1,0,0,26,5.9,4,0.9,22,5
E00169558,358,98,27.4,82,22.9,0,0,0,0,16,4.5,20,5.6,4,1.1,3,0.8,11,3.1,2,0.6,206,57.5,168,46.9,11,3.1,11,3.1,3,0.8,13,3.6,16,4.5,12,3.4,3,0.8,1,0.3,18,5,8,2.2,10,2.8
E00169559,375,137,36.5,119,31.7,0,0,0,0,18,4.8,25,6.7,10,2.7,3,0.8,6,1.6,6,1.6,124,33.1,98,26.1,6,1.6,1,0.3,0,0,19,5.1,19,5.1,16,4.3,0,0,3,0.8,70,18.7,61,16.3,9,2.4
E00169561,360,130,36.1,109,30.3,2,0.6,1,0.3,18,5,17,4.7,7,1.9,0,0,10,2.8,0,0,170,47.2,144,40,11,3.1,0,0,0,0,15,4.2,21,5.8,11,3.1,0,0,10,2.8,22,6.1,14,3.9,8,2.2
E00169562,362,108,29.8,70,19.3,0,0,0,0,38,10.5,4,1.1,2,0.6,0,0,2,0.6,0,0,208,57.5,171,47.2,10,2.8,0,0,4,1.1,23,6.4,21,5.8,20,5.5,0,0,1,0.3,21,5.8,16,4.4,5,1.4
E00169564,591,311,52.6,228,38.6,5,0.8,0,0,78,13.2,18,3,6,1,1,0.2,7,1.2,4,0.7,138,23.4,64,10.8,19,3.2,10,1.7,28,4.7,17,2.9,107,18.1,82,13.9,22,3.7,3,0.5,17,2.9,8,1.4,9,1.5
E00169565,175,134,76.6,125,71.4,3,1.7,0,0,6,3.4,8,4.6,5,2.9,1,0.6,1,0.6,1,0.6,14,8,1,0.6,0,0,0,0,9,5.1,4,2.3,11,6.3,7,4,3,1.7,1,0.6,8,4.6,0,0,8,4.6
E00169567,573,325,56.7,306,53.4,2,0.3,0,0,17,3,23,4,7,1.2,1,0.2,13,2.3,2,0.3,150,26.2,55,9.6,17,3,1,0.2,51,8.9,26,4.5,66,11.5,44,7.7,20,3.5,2,0.3,9,1.6,2,0.3,7,1.2
E00169569,398,98,24.6,85,21.4,0,0,0,0,13,3.3,10,2.5,3,0.8,0,0,5,1.3,2,0.5,268,67.3,220,55.3,18,4.5,2,0.5,4,1,24,6,9,2.3,7,1.8,2,0.5,0,0,13,3.3,0,0,13,3.3
E00169570,415,50,12,46,11.1,2,0.5,0,0,2,0.5,12,2.9,4,1,1,0.2,5,1.2,2,0.5,322,77.6,290,69.9,12,2.9,2,0.5,1,0.2,17,4.1,23,5.5,5,1.2,7,1.7,11,2.7,8,1.9,7,1.7,1,0.2
E00169572,241,129,53.5,116,48.1,0,0,0,0,13,5.4,12,5,5,2.1,2,0.8,3,1.2,2,0.8,73,30.3,18,7.5,2,0.8,1,0.4,37,15.4,15,6.2,23,9.5,18,7.5,5,2.1,0,0,4,1.7,1,0.4,3,1.2
